Go_Term,Ids
GO:0034625,Nvec_vc1.1_XM_001622279.3
GO:0034626,Nvec_vc1.1_XM_001622279.3
GO:0042761,Nvec_vc1.1_XM_001622279.3
GO:0032434,Nvec_vc1.1_XM_001622282.3
GO:0032436,Nvec_vc1.1_XM_001622282.3
GO:0008170,Nvec_vc1.1_XM_001622293.3
GO:0005216,Nvec_vc1.1_XM_001622296.3
GO:0005249,Nvec_vc1.1_XM_001622296.3
GO:0005251,Nvec_vc1.1_XM_001622296.3
GO:0005267,Nvec_vc1.1_XM_001622296.3
GO:0006811,Nvec_vc1.1_XM_001622296.3
GO:0006813,Nvec_vc1.1_XM_001622296.3
GO:0034220,Nvec_vc1.1_XM_001622296.3
GO:0051260,Nvec_vc1.1_XM_001622296.3
GO:0055085,Nvec_vc1.1_XM_001622296.3
GO:0071805,Nvec_vc1.1_XM_001622296.3
GO:0090729,Nvec_vc1.1_XM_001622312.3
GO:0035821,Nvec_vc1.1_XM_001622312.3
GO:0004653,Nvec_vc1.1_XM_001622319.3
GO:0016740,Nvec_vc1.1_XM_001622319.3
GO:0016757,Nvec_vc1.1_XM_001622319.3
GO:0030246,Nvec_vc1.1_XM_001622319.3
GO:0006486,Nvec_vc1.1_XM_001622319.3
GO:0006493,Nvec_vc1.1_XM_001622319.3
GO:0004497,Nvec_vc1.1_XM_001622352.3
GO:0005506,Nvec_vc1.1_XM_001622352.3
GO:0008395,Nvec_vc1.1_XM_001622352.3
GO:0016491,Nvec_vc1.1_XM_001622352.3
GO:0016705,Nvec_vc1.1_XM_001622352.3
GO:0020037,Nvec_vc1.1_XM_001622352.3
GO:0046872,Nvec_vc1.1_XM_001622352.3
GO:0003682,Nvec_vc1.1_XM_001622372.3
GO:0008168,Nvec_vc1.1_XM_001622372.3
GO:0016740,Nvec_vc1.1_XM_001622372.3
GO:0042054,Nvec_vc1.1_XM_001622372.3
GO:0046976,Nvec_vc1.1_XM_001622372.3
GO:0140951,Nvec_vc1.1_XM_001622372.3
GO:0006338,Nvec_vc1.1_XM_001622372.3
GO:0031507,Nvec_vc1.1_XM_001622372.3
GO:0032259,Nvec_vc1.1_XM_001622372.3
GO:0000166,Nvec_vc1.1_XM_001622373.3
GO:0005524,Nvec_vc1.1_XM_001622373.3
GO:0016887,Nvec_vc1.1_XM_001622373.3
GO:0031072,Nvec_vc1.1_XM_001622373.3
GO:0044183,Nvec_vc1.1_XM_001622373.3
GO:0140662,Nvec_vc1.1_XM_001622373.3
GO:0006616,Nvec_vc1.1_XM_001622373.3
GO:0042026,Nvec_vc1.1_XM_001622373.3
GO:0051085,Nvec_vc1.1_XM_001622373.3
GO:0051082,Nvec_vc1.1_XM_001622373.3
GO:0006457,Nvec_vc1.1_XM_001622373.3
GO:0005509,Nvec_vc1.1_XM_001622375.3
GO:0003924,Nvec_vc1.1_XM_001622377.3
GO:0005525,Nvec_vc1.1_XM_001622377.3
GO:0019003,Nvec_vc1.1_XM_001622377.3
GO:0007165,Nvec_vc1.1_XM_001622377.3
GO:0044877,Nvec_vc1.1_XM_001622379.3
GO:0051117,Nvec_vc1.1_XM_001622379.3
GO:0016558,Nvec_vc1.1_XM_001622379.3
GO:0045046,Nvec_vc1.1_XM_001622379.3
GO:0004888,Nvec_vc1.1_XM_001622381.3
GO:0005216,Nvec_vc1.1_XM_001622381.3
GO:0005230,Nvec_vc1.1_XM_001622381.3
GO:0015464,Nvec_vc1.1_XM_001622381.3
GO:0022848,Nvec_vc1.1_XM_001622381.3
GO:0030594,Nvec_vc1.1_XM_001622381.3
GO:0006811,Nvec_vc1.1_XM_001622381.3
GO:0034220,Nvec_vc1.1_XM_001622381.3
GO:0035094,Nvec_vc1.1_XM_001622381.3
GO:0060078,Nvec_vc1.1_XM_001622381.3
GO:0060079,Nvec_vc1.1_XM_001622381.3
GO:0004535,Nvec_vc1.1_XM_001622386.3
GO:0000289,Nvec_vc1.1_XM_001622386.3
GO:0003723,Nvec_vc1.1_XM_001622386.3
GO:0003824,Nvec_vc1.1_XM_001622386.3
GO:0004518,Nvec_vc1.1_XM_001622386.3
GO:0004527,Nvec_vc1.1_XM_001622386.3
GO:0016787,Nvec_vc1.1_XM_001622386.3
GO:0046872,Nvec_vc1.1_XM_001622386.3
GO:0051536,Nvec_vc1.1_XM_001622411.3
GO:0051537,Nvec_vc1.1_XM_001622411.3
GO:0006879,Nvec_vc1.1_XM_001622411.3
GO:0097428,Nvec_vc1.1_XM_001622411.3
GO:0004622,Nvec_vc1.1_XM_001622412.3
GO:0008081,Nvec_vc1.1_XM_001622412.3
GO:0034479,Nvec_vc1.1_XM_001622412.3
GO:0006629,Nvec_vc1.1_XM_001622412.3
GO:0046475,Nvec_vc1.1_XM_001622412.3
GO:0022857,Nvec_vc1.1_XM_001622418.3
GO:0055085,Nvec_vc1.1_XM_001622418.3
GO:0006355,Nvec_vc1.1_XM_001622420.3
GO:0006357,Nvec_vc1.1_XM_001622420.3
GO:0015631,Nvec_vc1.1_XM_001622433.3
GO:0006457,Nvec_vc1.1_XM_001622433.3
GO:0007017,Nvec_vc1.1_XM_001622433.3
GO:0007021,Nvec_vc1.1_XM_001622433.3
GO:0042393,Nvec_vc1.1_XM_001622437.3
GO:0000077,Nvec_vc1.1_XM_001622437.3
GO:0045944,Nvec_vc1.1_XM_001622437.3
GO:0034244,Nvec_vc1.1_XM_001622447.3
GO:0045892,Nvec_vc1.1_XM_001622447.3
GO:0003714,Nvec_vc1.1_XM_001622450.2
GO:0000122,Nvec_vc1.1_XM_001622450.2
GO:0016810,Nvec_vc1.1_XM_001622452.3
GO:0005975,Nvec_vc1.1_XM_001622452.3
GO:0004930,Nvec_vc1.1_XM_001622456.3
GO:0008188,Nvec_vc1.1_XM_001622456.3
GO:0007165,Nvec_vc1.1_XM_001622456.3
GO:0007186,Nvec_vc1.1_XM_001622456.3
GO:0006301,Nvec_vc1.1_XM_001622471.3
GO:0070534,Nvec_vc1.1_XM_001622471.3
GO:0051726,Nvec_vc1.1_XM_001622472.3
GO:0016740,Nvec_vc1.1_XM_001622486.3
GO:0008446,Nvec_vc1.1_XM_001622499.3
GO:0019673,Nvec_vc1.1_XM_001622499.3
GO:0042350,Nvec_vc1.1_XM_001622499.3
GO:0042351,Nvec_vc1.1_XM_001622499.3
GO:0003723,Nvec_vc1.1_XM_001622532.2
GO:0003746,Nvec_vc1.1_XM_001622532.2
GO:0043022,Nvec_vc1.1_XM_001622532.2
GO:0006412,Nvec_vc1.1_XM_001622532.2
GO:0006414,Nvec_vc1.1_XM_001622532.2
GO:0045901,Nvec_vc1.1_XM_001622532.2
GO:0045905,Nvec_vc1.1_XM_001622532.2
GO:0016791,Nvec_vc1.1_XM_001622535.3
GO:0006024,Nvec_vc1.1_XM_001622535.3
GO:0016311,Nvec_vc1.1_XM_001622535.3
GO:0050650,Nvec_vc1.1_XM_001622535.3
GO:0008013,Nvec_vc1.1_XM_001622536.3
GO:0004656,Nvec_vc1.1_XM_001622537.3
GO:0005506,Nvec_vc1.1_XM_001622537.3
GO:0016491,Nvec_vc1.1_XM_001622537.3
GO:0016705,Nvec_vc1.1_XM_001622537.3
GO:0031418,Nvec_vc1.1_XM_001622537.3
GO:0046872,Nvec_vc1.1_XM_001622537.3
GO:0051213,Nvec_vc1.1_XM_001622537.3
GO:0004930,Nvec_vc1.1_XM_001622549.3
GO:0001973,Nvec_vc1.1_XM_001622549.3
GO:0007165,Nvec_vc1.1_XM_001622549.3
GO:0007186,Nvec_vc1.1_XM_001622549.3
GO:0007189,Nvec_vc1.1_XM_001622549.3
GO:0051082,Nvec_vc1.1_XM_001622555.3
GO:0051087,Nvec_vc1.1_XM_001622555.3
GO:0006457,Nvec_vc1.1_XM_001622555.3
GO:0051131,Nvec_vc1.1_XM_001622555.3
GO:0004252,Nvec_vc1.1_XM_001622556.3
GO:0008233,Nvec_vc1.1_XM_001622556.3
GO:0008236,Nvec_vc1.1_XM_001622556.3
GO:0016787,Nvec_vc1.1_XM_001622556.3
GO:0006508,Nvec_vc1.1_XM_001622556.3
GO:0004930,Nvec_vc1.1_XM_001622563.3
GO:0007186,Nvec_vc1.1_XM_001622563.3
GO:0004550,Nvec_vc1.1_XM_001622576.3
GO:0006183,Nvec_vc1.1_XM_001622576.3
GO:0006228,Nvec_vc1.1_XM_001622576.3
GO:0006241,Nvec_vc1.1_XM_001622576.3
GO:0008374,Nvec_vc1.1_XM_001622588.3
GO:0001666,Nvec_vc1.1_XM_001622588.3
GO:0019432,Nvec_vc1.1_XM_001622588.3
GO:0045017,Nvec_vc1.1_XM_001622588.3
GO:0071731,Nvec_vc1.1_XM_001622588.3
GO:0015250,Nvec_vc1.1_XM_001622599.3
GO:0015267,Nvec_vc1.1_XM_001622599.3
GO:0006833,Nvec_vc1.1_XM_001622599.3
GO:0055085,Nvec_vc1.1_XM_001622599.3
GO:0008270,Nvec_vc1.1_XM_001622611.3
GO:0046872,Nvec_vc1.1_XM_001622611.3
GO:0061630,Nvec_vc1.1_XM_001622611.3
GO:0006511,Nvec_vc1.1_XM_001622611.3
GO:0016567,Nvec_vc1.1_XM_001622611.3
GO:0016829,Nvec_vc1.1_XM_001622637.3
GO:0018812,Nvec_vc1.1_XM_001622637.3
GO:0102158,Nvec_vc1.1_XM_001622637.3
