"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Nvec_vc1.1_XM_032363920.2"	10.3022025079376	-4.37937864473018	0.995620217893458	-4.39864374590154	1.08929467257182e-05	0.000152615262165748
"Nvec_vc1.1_XM_032363916.2"	42.2493359224412	-1.16907727712859	0.321257034299874	-3.6390713737254	0.000273622961195772	0.00238126365461451
"Nvec_NVE6151"	46.6108999070323	-1.07724059601609	0.336420786243004	-3.20206313065916	0.00136447091375614	0.00878850129212403
"Nvec_vc1.1_XM_001640379.3"	30.8802572708136	-1.47526247563988	0.375214190449581	-3.93178753146895	8.43165705509274e-05	0.000884933358063012
"Nvec_vc1.1_XM_048731936.1"	22.1465640063943	-1.38767500716536	0.434305194063789	-3.19516097466138	0.00139752868069603	0.00896671451993421
"Nvec_vc1.1_XM_032365315.2"	11.7495706935319	-1.69462148808348	0.664643109332051	-2.54967134134066	0.0107824512879741	0.0441768489747966
"Nvec_vc1.1_XM_001640204.3"	22.3047062697969	-1.19149722904639	0.430574486588492	-2.76722673116749	0.00565354207005814	0.0270374819686931
"Nvec_vc1.1_XM_048724987.1"	6.56340554437667	-2.89358623791879	0.973552774174555	-2.97219248373276	0.00295681247571865	0.0162495976049357
"Nvec_vc1.1_XM_032365393.2"	374.996024292819	-1.03566296576541	0.168015169967189	-6.16410390780585	7.08833880356922e-10	2.8833090851535e-08
"Nvec_vc1.1_XM_048730750.1"	38.2833719414506	-1.36543837458887	0.365270379486815	-3.73815795440964	0.000185373474559927	0.00173199518584703
"Nvec_vc1.1_XM_032365304.2"	16.6532039332062	-1.54225941541853	0.553587229249706	-2.78593748903638	0.00533731632790386	0.0258407463851208
"Nvec_vc1.1_XM_001628076.3"	29.5483314042516	-1.31393855078327	0.433195895824927	-3.03312788382069	0.00242033007852885	0.0138890726447145
"Nvec_vc1.1_XM_032361818.2"	38.8862059164728	-1.0250031183007	0.353756727191002	-2.89748021596568	0.00376173463262089	0.0195937539672241
"Nvec_vc1.1_XM_001637421.3"	266.712530343094	-1.26848491646632	0.164010175327001	-7.73418425983162	1.04068215724614e-14	1.17877267426534e-12
"Nvec_vc1.1_XM_032361887.2"	51.2965928508903	-1.56362564760303	0.316004250671818	-4.94811586957706	7.49352988825129e-07	1.44806072971785e-05
"Nvec_vc1.1_XM_001637406.3"	107.052980448664	-1.61306816435799	0.273795087957893	-5.89151608375847	3.82668405979708e-09	1.30737639861977e-07
"Nvec_vc1.1_XM_032387435.2"	27.5722380449357	-1.09082076422303	0.388953294315381	-2.80450321456473	0.00503941851027832	0.024636599456789
"Nvec_vc1.1_XM_032361875.2"	13.2503680134584	-1.85817973830778	0.665846020862696	-2.79070487783384	0.00525934029070494	0.0255758869817141
"Nvec_vc1.1_XM_048730824.1"	63.0764696859183	-1.20006019563072	0.323608107274148	-3.70837494072444	0.000208593636705963	0.00189953079807997
"Nvec_vc1.1_XM_032385668.2"	51.8305114592241	-1.98689754959134	0.340597223916424	-5.83356941887137	5.4254019699082e-09	1.78323758943969e-07
"Nvec_vc1.1_XM_001635979.3"	306.663685318057	-1.00316514136496	0.227592922344825	-4.40771677356939	1.04466026634183e-05	0.000147202128439076
"Nvec_vc1.1_XM_048724929.1"	19.3818649408021	-1.23025029285857	0.461353610144723	-2.66661030889658	0.00766204573642648	0.0341200597540264
"Nvec_vc1.1_XM_001640841.3"	148.379004309985	-1.18013986192469	0.221008681077304	-5.33978962352118	9.3054500365715e-08	2.26483887253744e-06
"Nvec_vc1.1_XM_048728389.1"	747.513771434213	-1.02489791401977	0.124624184772368	-8.22390867303798	1.96976106512873e-16	2.99760932574965e-14
"Nvec_vc1.1_XM_001634596.3"	40.1412193550337	-1.0159522975683	0.37234929042384	-2.72849263768397	0.00636245104187704	0.0295263446554174
"Nvec_vc1.1_XM_001634565.3"	9.45338788352897	-2.97003301859622	0.799974112054332	-3.71266141471651	0.000205091176599045	0.00187138714346504
"Nvec_NVE6050"	21.4595509015151	-1.20248301361277	0.475156267830416	-2.5307106209571	0.0113831719158808	0.046303095707554
"Nvec_vc1.1_XM_048728326.1"	653.739872779881	-1.15420796847841	0.169928763434033	-6.79230487619288	1.10356021890562e-11	6.88556111160394e-10
"Nvec_vc1.1_XM_001635569.3"	27.6194653642859	-1.32646923112388	0.409399795000157	-3.24003394071893	0.00119515472619263	0.00787487896969777
"Nvec_NVE18112"	121.070995859652	-1.09994347608198	0.205077988620289	-5.36353746924333	8.1607713509879e-08	2.00948759436951e-06
