"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Nvec_vc1.1_XM_032369105.2"	121.711840804283	1.41874887585657	0.217559999075589	6.52118441756218	6.97543561096738e-11	3.6947226392624e-09
"Nvec_vc1.1_XM_032373315.2"	398.667367498876	2.54566610115241	0.372857361837418	6.82745296648437	8.64354510324823e-12	5.48604317436768e-10
"Nvec_vc1.1_XM_048731595.1"	71.7398624751692	1.1221735776092	0.293265332116282	3.82647880508511	0.000129989336104757	0.0012760619827617
"Nvec_vc1.1_XM_032362886.2"	1490.95674676618	2.03337968107361	0.173502751056928	11.7195817858037	1.01170200377169e-31	6.77150545706282e-29
"Nvec_vc1.1_XM_032362934.2"	1254.98867471457	1.41997858230949	0.177711108442893	7.99037603642992	1.34527778045576e-15	1.8008377561101e-13
"Nvec_vc1.1_XM_001638224.3"	18.0818073612003	1.44529930529941	0.494712840499389	2.9214913925429	0.00348359901331421	0.0185050488712308
"Nvec_vc1.1_XM_001638182.3"	7248.58785015558	2.29914257122704	0.105580002918408	21.7763071384249	3.89209195282794e-105	5.73110540053914e-101
"Nvec_vc1.1_XM_048724381.1"	474.322514520601	1.02809521875399	0.131238697127413	7.83378105129976	4.73412899924421e-15	5.76116111684885e-13
"Nvec_vc1.1_XM_032377730.2"	224.043139513218	1.10371588494881	0.169141735631771	6.52539055973533	6.78245661563290e-11	3.60547558358103e-09
"Nvec_vc1.1_XM_032362351.2"	818.062048281937	1.43017609607651	0.119133996511886	12.0047688984716	3.35399475541692e-33	2.46937863867571e-30
"Nvec_vc1.1_XM_032362450.2"	156.000085720429	1.22740330777246	0.197908569405797	6.20187044683122	5.5796001568452e-10	2.32746777080865e-08
"Nvec_vc1.1_XM_048720504.1"	2045.18801304601	1.68630504856497	0.14242030337818	11.8403416406662	2.41467331365642e-32	1.69314593064718e-29
"Nvec_vc1.1_XM_048724182.1"	149.769004549286	1.21222233862153	0.238288920063073	5.08719557040531	3.63397047222982e-07	7.65223522362716e-06
"Nvec_vc1.1_XM_048724280.1"	454.795191364932	1.64267041599432	0.182202000733359	9.01565520346982	1.95697109534503e-19	3.84218658386074e-17
"Nvec_vc1.1_XM_048720702.1"	56.6490891956929	1.02369344935984	0.330778018663861	3.09480494953966	0.00196942364153073	0.0117503092064587
"Nvec_vc1.1_XM_001641064.3"	164.533759581883	1.18533415644253	0.198099061350593	5.98354251838047	2.18336007966973e-09	7.95791514186555e-08
